raw_host,normalized_host
chicken,Chicken
ck,Chicken
gamefowl,Chicken
gamecock,Chicken
backyard,Chicken
layer,Chicken
broiler,Chicken
laying,Chicken
fighting,Chicken
fightcock,Chicken
game,Chicken
asil,Chicken
poultry,Chicken
pigeon,Pigeon
rock,Rock Pigeon
carrier,Pigeon
dpigeon,Pigeon
duck,Duck
mallard,Mallard
mandarin,Duck
muscovy,Duck
feralduck,Duck
meller'sduck,Duck
tree-duck,Duck
gadwall,Wild Bird
shoveler,Wild Bird
garganey,Wild Bird
tadorna,Wild Bird
anas,Wild Bird
mottled,Wild Bird
redhead,Wild Bird
ruddy,Wild Bird
goose,Goose
anser,Wild Bird
anseriformes,Wild Bird
whitefronted,Wild Bird
wingedgoose,Wild Bird
bean,Wild Bird
fabalis,Wild Bird
sheldrake,Wild Bird
teal,Teal
baikal,Teal
wild,Wild Bird
eurasian,Wild Bird
northern,Wild Bird
pintail,Wild Bird
blue,Wild Bird
heron,Wild Bird
cormorant,Cormorant
cormonant,Cormorant
swan,Wild Bird
gull,Wild Bird
eagle,Wild Bird
turnstone,Wild Bird
ruddyturnstone,Wild Bird
redknot,Wild Bird
knot,Wild Bird
coot,Wild Bird
pelican,Wild Bird
peican,Wild Bird
dalmatian,Wild Bird
egret,Wild Bird
sterna,Wild Bird
emu,Wild Bird
vulture,Wild Bird
sandpiper,Wild Bird
sparrowhawk,Wild Bird
finch,Wild Bird
waterfowl,Wild Bird
wildfowl,Wild Bird
raptor,Wild Bird
penguin,Wild Bird
chukar,Wild Bird
gannet,Wild Bird
roller,Wild Bird
charadriiformes,Wild Bird
chachalaca,Wild Bird
crested,Wild Bird
collared,Wild Bird
spoonbill,Wild Bird
african,Wild Bird
oriental,Wild Bird
european,Wild Bird
black,Wild Bird
white,Wild Bird
green,Wild Bird
red,Wild Bird
common,Wild Bird
great,Wild Bird
american,Wild Bird
amer,Wild Bird
rough,Wild Bird
lesser,Wild Bird
long,Wild Bird
slaty,Wild Bird
hooded,Wild Bird
winged,Wild Bird
backed,Wild Bird
billed,Wild Bird
birds,Wild Bird
bird,Wild Bird
alba,Wild Bird
seafowl,Wild Bird
spur,Wild Bird
spot,Wild Bird
ring,Wild Bird
laughing,Wild Bird
loughing,Wild Bird
whitebreasted,Wild Bird
redlored,Wild Bird
redpoll,Wild Bird
herring,Wild Bird
scarlet,Wild Bird
crestless,Wild Bird
spectacled,Wild Bird
dominican,Wild Bird
japanese,Quail
parrot,Parrot
parakeet,Parakeet
amazon,Parrot
rosella,Parrot
cockatiel,Parrot
psittacine,Parrot
turkey,Turkey
dove,Dove
turtle,Dove
quail,Quail
peacock,Peacock
pheasant,Pheasant
ostrich,Wild Bird
guinea,Guinea fowl
coucal,Wild Bird
domestic,Unspecified
fowl,Unspecified
local,Unspecified
village,Unspecified
avian,Unspecified
environment,Unspecified
lbm,Unspecified
ecdo,Unspecified
rodo,Unspecified
bassette,Unspecified
longearde,Unspecified
highland,Unspecified
mule,Unspecified
camel,Unspecified
cattle,Unspecified
south,Unspecified
chinese,Unspecified
s,Unspecified
